GEOHASH,TOTAL_VEHICLES,TOTAL_WEIGHTED_SUM,UNIQUE_DAYS,LATITUDE,LONGITUDE,MEAN_DAILY_VEHICLES,MEAN_SPEED,V_NORM,INV_SPEED,S_NORM,FINAL_DEMAND_SCORE,DIST_TO_NEAREST_KM,MARKET_OPPORTUNITY_INDEX
sxk9nx,4889795,264594217,355,40.9982299804688,29.1192626953125,13774.070422535213,54.11151530892399,0.8594766927697427,0.0184462654161483,0.1254689505346525,0.6392743700992156,1.6225142304040483,1.0372317626185616
sxk3xe,5664472,248836180,355,41.0641479492188,28.8116455078125,15956.259154929578,43.92928061079656,0.9956511474976432,0.0227121585028756,0.1817575519439119,0.7514830688315237,1.290849903718838,0.9700518470475092
sxk9fc,4456140,213795509,354,41.0971069335938,28.9544677734375,12587.966101694916,47.97773611242017,0.7854605883223458,0.0207996482542709,0.1565219154930649,0.5967789864735614,1.1899797142431756,0.7101548877901406
sxk3xd,5251609,226371280,355,41.0586547851563,28.8116455078125,14793.264788732396,43.10512835209171,0.9230771664677104,0.023145400514742,0.1874741947251317,0.7023962749449368,0.9457778408973099,0.6643108323717356
sxk3x7,4591255,194711447,355,41.0641479492188,28.8006591796875,12933.112676056338,42.409199009856785,0.8069986642307937,0.0235243199893774,0.1924740498176848,0.6226412799068609,1.0247037709113296,0.6380228674456171
sxk9pq,5341766,191961729,355,40.9927368164063,29.1522216796875,15047.228169014084,35.93600487179708,0.9389251654594236,0.0277500239984325,0.2482323550080494,0.7317173223240113,0.7350529821183258,0.5378509998419008
sxk3s9,4334190,230144996,355,41.0531616210938,28.6798095703125,12208.985915492958,53.09988625325609,0.7618112039026469,0.0187970326710763,0.1300973361501979,0.5722970435769121,0.7054807824573339,0.4037445661006589
sxkc0s,4545777,290018513,355,40.9817504882813,29.2071533203125,12805.005633802815,63.79954692014149,0.799004439731918,0.0156495632316415,0.088566372030305,0.5858730194214341,0.6733859147006329,0.39451863908152407
sxk985,5246491,245582636,355,41.0641479492188,28.8336181640625,14778.847887323944,46.808931150363165,0.922177512987231,0.0213179020599419,0.1633602917259357,0.6945323466088424,0.4802614625961085,0.33355712060267007
sxk3t9,4206756,194616865,355,41.0531616210938,28.7237548828125,11850.016901408451,46.26293157958294,0.7394105705240965,0.0215689553255164,0.1666729479297177,0.5675892837457829,0.5438290322198501,0.308671530877827
sxk3k8,5115363,238418027,354,41.0037231445313,28.6798095703125,14450.177966101695,46.60823229944776,0.9016676246152964,0.0214095021534742,0.1645689580120019,0.6805380246343081,0.36831973450541516,0.25065558455414805
sxk3py,4314367,204009757,355,40.9927368164063,28.8226318359375,12153.14647887324,47.28613884725152,0.7583266726514658,0.0211032176144058,0.1605275233142882,0.5789869278503125,0.3808942901927708,0.22053281491443777
sxkbgk,5689212,335024354,355,40.9378051757813,29.3280029296875,16025.949295774648,58.88765509177721,1.0,0.0169526996529041,0.1057613005264179,0.7317283901579253,0.2833070584020532,0.20730381776491175
sxk3x8,4721712,166728649,354,41.0476684570313,28.8116455078125,13338.169491525425,35.31105857366989,0.8322753005553708,0.0282397657759815,0.2546945140798951,0.659001064612728,0.2788679812558283,0.18377429653399313
sxkb6p,5013870,203706837,355,40.8663940429688,29.2730712890625,14123.577464788732,40.62866348748572,0.8812868736197799,0.0245527329986474,0.2060439937393939,0.6787140096556641,0.25082593971061135,0.1702390792666389
sxk3rs,4724627,169679540,355,41.0256958007813,28.8116455078125,13308.808450704226,35.913848860449725,0.8304430925228038,0.0277670960378299,0.2484576211367002,0.6558474511069727,0.2095046079193102,0.1374030630990453
sxkc0u,4369876,231754032,355,40.9817504882813,29.2181396484375,12309.50985915493,53.03446413582445,0.7680841687530554,0.018820176626676,0.1304027214154401,0.5767797345517708,0.217740322035991,0.12558820514513597
sxkc17,4501812,261582394,355,40.9762573242188,29.2401123046875,12681.16056338028,58.106023530080776,0.7912761737551146,0.0171803524678713,0.1087651870047862,0.5865228777300161,0.1547732972575048,0.09077807970323493
sxkbge,5308423,345121014,355,40.9323120117188,29.3389892578125,14953.304225352113,65.01384949918271,0.933064058386421,0.0153577158729119,0.0847154364081756,0.6785594717929474,0.07683744684439332,0.06785594717929475
sxkbgf,4422964,271937641,355,40.9268188476563,29.3499755859375,12459.05352112676,61.48312330826115,0.7774160960628822,0.0162382150543808,0.0963336524438955,0.5730913629771861,0.11046294420968475,0.0633053592556011
